metric,threshold,actual_spikes,predicted_spikes,precision,recall,f1,threshold_source
traffic_mbps,85.27364349365234,122,115,0.8347826086956521,0.7868852459016393,0.810126582278481,training_metrics
latency_ms,4.817259788513184,111,151,0.47019867549668876,0.6396396396396397,0.5419847328244275,training_metrics
packet_loss_pct,0.16600000858306885,128,133,0.5864661654135338,0.609375,0.5977011494252874,training_metrics
